Hour data: {'time_epoch': 1736935200, 'time': '2025-01-15 11:00', 'temp_c': 4.7, 'temp_f': 40.4, 'is_day': 1, 'condition': {'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/day/143.png', 'code': 1030}, 'wind_mph': 2.5, 'wind_kph': 4.0, 'wind_degree': 51, 'wind_dir': 'NE', 'pressure_mb': 1034.0, 'pressure_in': 30.55, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 96, 'cloud': 88, 'feelslike_c': 4.2, 'feelslike_f': 39.5, 'windchill_c': 4.2, 'windchill_f': 39.5, 'heatindex_c': 4.7, 'heatindex_f': 40.4, 'dewpoint_c': 4.1, 'dewpoint_f': 39.3, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 2.0, 'vis_miles': 1.0, 'gust_mph': 4.5, 'gust_kph': 7.3, 'uv': 0.3}
Hour data: {'time_epoch': 1736938800, 'time': '2025-01-15 12:00', 'temp_c': 4.9, 'temp_f': 40.8, 'is_day': 1, 'condition': {'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/day/143.png', 'code': 1030}, 'wind_mph': 2.0, 'wind_kph': 3.2, 'wind_degree': 118, 'wind_dir': 'ESE', 'pressure_mb': 1034.0, 'pressure_in': 30.54, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 95, 'cloud': 97, 'feelslike_c': 4.8, 'feelslike_f': 40.6, 'windchill_c': 4.8, 'windchill_f': 40.6, 'heatindex_c': 4.9, 'heatindex_f': 40.8, 'dewpoint_c': 4.2, 'dewpoint_f': 39.5, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 2.0, 'vis_miles': 1.0, 'gust_mph': 3.5, 'gust_kph': 5.7, 'uv': 0.4}
Hour data: {'time_epoch': 1736942400, 'time': '2025-01-15 13:00', 'temp_c': 5.4, 'temp_f': 41.7, 'is_day': 1, 'condition': {'text': 'Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/119.png', 'code': 1006}, 'wind_mph': 1.6, 'wind_kph': 2.5, 'wind_degree': 190, 'wind_dir': 'S', 'pressure_mb': 1034.0, 'pressure_in': 30.53, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 93, 'cloud': 76, 'feelslike_c': 5.4, 'feelslike_f': 41.7, 'windchill_c': 5.4, 'windchill_f': 41.7, 'heatindex_c': 5.4, 'heatindex_f': 41.7, 'dewpoint_c': 4.3, 'dewpoint_f': 39.8, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 2.6, 'gust_kph': 4.1, 'uv': 0.5}
Hour data: {'time_epoch': 1736946000, 'time': '2025-01-15 14:00', 'temp_c': 6.1, 'temp_f': 43.0, 'is_day': 1, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 0.7, 'wind_kph': 1.1, 'wind_degree': 242, 'wind_dir': 'WSW', 'pressure_mb': 1034.0, 'pressure_in': 30.52, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 89, 'cloud': 39, 'feelslike_c': 6.1, 'feelslike_f': 43.1, 'windchill_c': 6.1, 'windchill_f': 43.1, 'heatindex_c': 6.1, 'heatindex_f': 43.1, 'dewpoint_c': 4.5, 'dewpoint_f': 40.2, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 1.0, 'gust_kph': 1.6, 'uv': 0.5}
Hour data: {'time_epoch': 1736949600, 'time': '2025-01-15 15:00', 'temp_c': 6.3, 'temp_f': 43.3, 'is_day': 1, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 2.2, 'wind_kph': 3.6, 'wind_degree': 255, 'wind_dir': 'WSW', 'pressure_mb': 1033.0, 'pressure_in': 30.52, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 89, 'cloud': 48, 'feelslike_c': 6.3, 'feelslike_f': 43.3, 'windchill_c': 6.3, 'windchill_f': 43.3, 'heatindex_c': 6.3, 'heatindex_f': 43.3, 'dewpoint_c': 4.6, 'dewpoint_f': 40.2, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 6.7, 'gust_kph': 10.8, 'uv': 0.4}
Hour data: {'time_epoch': 1736953200, 'time': '2025-01-15 16:00', 'temp_c': 6.0, 'temp_f': 42.7, 'is_day': 1, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 0.4, 'wind_kph': 0.7, 'wind_degree': 194, 'wind_dir': 'SSW', 'pressure_mb': 1033.0, 'pressure_in': 30.52, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 88, 'cloud': 41, 'feelslike_c': 6.0, 'feelslike_f': 42.7, 'windchill_c': 6.0, 'windchill_f': 42.7, 'heatindex_c': 6.0, 'heatindex_f': 42.7, 'dewpoint_c': 4.2, 'dewpoint_f': 39.5, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 0.7, 'gust_kph': 1.2, 'uv': 0.1}
Hour data: {'time_epoch': 1736956800, 'time': '2025-01-15 17:00', 'temp_c': 5.5, 'temp_f': 41.9, 'is_day': 0, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}, 'wind_mph': 1.6, 'wind_kph': 2.5, 'wind_degree': 144, 'wind_dir': 'SE', 'pressure_mb': 1034.0, 'pressure_in': 30.53, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 88, 'cloud': 47, 'feelslike_c': 5.5, 'feelslike_f': 41.9, 'windchill_c': 5.5, 'windchill_f': 41.9, 'heatindex_c': 5.5, 'heatindex_f': 41.9, 'dewpoint_c': 3.7, 'dewpoint_f': 38.7, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 2.7, 'gust_kph': 4.4, 'uv': 0}
Hour data: {'time_epoch': 1736960400, 'time': '2025-01-15 18:00', 'temp_c': 5.2, 'temp_f': 41.4, 'is_day': 0, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}, 'wind_mph': 2.9, 'wind_kph': 4.7, 'wind_degree': 140, 'wind_dir': 'SE', 'pressure_mb': 1034.0, 'pressure_in': 30.54, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 89, 'cloud': 53, 'feelslike_c': 4.5, 'feelslike_f': 40.0, 'windchill_c': 4.5, 'windchill_f': 40.0, 'heatindex_c': 5.2, 'heatindex_f': 41.4, 'dewpoint_c': 3.6, 'dewpoint_f': 38.4, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 5.2, 'gust_kph': 8.3, 'uv': 0}
Hour data: {'time_epoch': 1736964000, 'time': '2025-01-15 19:00', 'temp_c': 5.1, 'temp_f': 41.1, 'is_day': 0, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}, 'wind_mph': 3.4, 'wind_kph': 5.4, 'wind_degree': 141, 'wind_dir': 'SE', 'pressure_mb': 1035.0, 'pressure_in': 30.55, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 89, 'cloud': 31, 'feelslike_c': 4.0, 'feelslike_f': 39.2, 'windchill_c': 4.0, 'windchill_f': 39.2, 'heatindex_c': 5.1, 'heatindex_f': 41.1, 'dewpoint_c': 3.4, 'dewpoint_f': 38.1, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 6.0, 'gust_kph': 9.6, 'uv': 0}
Hour data: {'time_epoch': 1736967600, 'time': '2025-01-15 20:00', 'temp_c': 4.9, 'temp_f': 40.8, 'is_day': 0, 'condition': {'text': 'Clear ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}, 'wind_mph': 3.1, 'wind_kph': 5.0, 'wind_degree': 149, 'wind_dir': 'SSE', 'pressure_mb': 1035.0, 'pressure_in': 30.55, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 90, 'cloud': 21, 'feelslike_c': 3.9, 'feelslike_f': 39.0, 'windchill_c': 3.9, 'windchill_f': 39.0, 'heatindex_c': 4.9, 'heatindex_f': 40.7, 'dewpoint_c': 3.3, 'dewpoint_f': 38.0, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 5.7, 'gust_kph': 9.1, 'uv': 0}
Hour data: {'time_epoch': 1736971200, 'time': '2025-01-15 21:00', 'temp_c': 4.0, 'temp_f': 39.3, 'is_day': 0, 'condition': {'text': 'Clear ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}, 'wind_mph': 3.8, 'wind_kph': 6.1, 'wind_degree': 152, 'wind_dir': 'SSE', 'pressure_mb': 1035.0, 'pressure_in': 30.56, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 92, 'cloud': 21, 'feelslike_c': 2.6, 'feelslike_f': 36.6, 'windchill_c': 2.6, 'windchill_f': 36.6, 'heatindex_c': 4.0, 'heatindex_f': 39.3, 'dewpoint_c': 2.9, 'dewpoint_f': 37.1, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 7.4, 'gust_kph': 12.0, 'uv': 0}
Hour data: {'time_epoch': 1736974800, 'time': '2025-01-15 22:00', 'temp_c': 3.6, 'temp_f': 38.5, 'is_day': 0, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}, 'wind_mph': 3.6, 'wind_kph': 5.8, 'wind_degree': 151, 'wind_dir': 'SSE', 'pressure_mb': 1035.0, 'pressure_in': 30.56, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 93, 'cloud': 25, 'feelslike_c': 2.2, 'feelslike_f': 36.0, 'windchill_c': 2.2, 'windchill_f': 36.0, 'heatindex_c': 3.6, 'heatindex_f': 38.5, 'dewpoint_c': 2.6, 'dewpoint_f': 36.6, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 7.1, 'gust_kph': 11.5, 'uv': 0}
Hour data: {'time_epoch': 1736978400, 'time': '2025-01-15 23:00', 'temp_c': 3.3, 'temp_f': 37.9, 'is_day': 0, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}, 'wind_mph': 3.8, 'wind_kph': 6.1, 'wind_degree': 146, 'wind_dir': 'SSE', 'pressure_mb': 1035.0, 'pressure_in': 30.57, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 94, 'cloud': 30, 'feelslike_c': 1.7, 'feelslike_f': 35.0, 'windchill_c': 1.7, 'windchill_f': 35.0, 'heatindex_c': 3.3, 'heatindex_f': 37.9, 'dewpoint_c': 2.4, 'dewpoint_f': 36.3, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 7.6, 'gust_kph': 12.2, 'uv': 0}
