Hour data: {'time_epoch': 1737363600, 'time': '2025-01-20 11:00', 'temp_c': 2.4, 'temp_f': 36.4, 'is_day': 1, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 1.1, 'wind_kph': 1.8, 'wind_degree': 166, 'wind_dir': 'SSE', 'pressure_mb': 1024.0, 'pressure_in': 30.24, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 92, 'cloud': 49, 'feelslike_c': 2.4, 'feelslike_f': 36.4, 'windchill_c': 2.4, 'windchill_f': 36.4, 'heatindex_c': 2.4, 'heatindex_f': 36.4, 'dewpoint_c': 1.3, 'dewpoint_f': 34.3, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 1.8, 'gust_kph': 2.8, 'uv': 0.4}
Hour data: {'time_epoch': 1737367200, 'time': '2025-01-20 12:00', 'temp_c': 3.1, 'temp_f': 37.5, 'is_day': 1, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 2.0, 'wind_kph': 3.2, 'wind_degree': 128, 'wind_dir': 'SE', 'pressure_mb': 1024.0, 'pressure_in': 30.25, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 89, 'cloud': 43, 'feelslike_c': 2.8, 'feelslike_f': 37.0, 'windchill_c': 2.8, 'windchill_f': 37.0, 'heatindex_c': 3.1, 'heatindex_f': 37.5, 'dewpoint_c': 1.5, 'dewpoint_f': 34.7, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 3.0, 'gust_kph': 4.8, 'uv': 0.5}
Hour data: {'time_epoch': 1737370800, 'time': '2025-01-20 13:00', 'temp_c': 3.5, 'temp_f': 38.2, 'is_day': 1, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 3.1, 'wind_kph': 5.0, 'wind_degree': 141, 'wind_dir': 'SE', 'pressure_mb': 1024.0, 'pressure_in': 30.25, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 88, 'cloud': 45, 'feelslike_c': 2.3, 'feelslike_f': 36.2, 'windchill_c': 2.3, 'windchill_f': 36.2, 'heatindex_c': 3.5, 'heatindex_f': 38.2, 'dewpoint_c': 1.6, 'dewpoint_f': 34.9, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 4.5, 'gust_kph': 7.3, 'uv': 0.5}
Hour data: {'time_epoch': 1737374400, 'time': '2025-01-20 14:00', 'temp_c': 3.5, 'temp_f': 38.4, 'is_day': 1, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 3.4, 'wind_kph': 5.4, 'wind_degree': 141, 'wind_dir': 'SE', 'pressure_mb': 1024.0, 'pressure_in': 30.24, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 88, 'cloud': 32, 'feelslike_c': 2.3, 'feelslike_f': 36.1, 'windchill_c': 2.3, 'windchill_f': 36.1, 'heatindex_c': 3.5, 'heatindex_f': 38.4, 'dewpoint_c': 1.8, 'dewpoint_f': 35.2, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 4.9, 'gust_kph': 7.9, 'uv': 0.3}
Hour data: {'time_epoch': 1737378000, 'time': '2025-01-20 15:00', 'temp_c': 3.3, 'temp_f': 37.9, 'is_day': 1, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 3.8, 'wind_kph': 6.1, 'wind_degree': 128, 'wind_dir': 'SE', 'pressure_mb': 1024.0, 'pressure_in': 30.24, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 90, 'cloud': 26, 'feelslike_c': 1.7, 'feelslike_f': 35.0, 'windchill_c': 1.7, 'windchill_f': 35.0, 'heatindex_c': 3.3, 'heatindex_f': 37.9, 'dewpoint_c': 1.8, 'dewpoint_f': 35.2, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 6.0, 'gust_kph': 9.6, 'uv': 0.2}
Hour data: {'time_epoch': 1737381600, 'time': '2025-01-20 16:00', 'temp_c': 2.5, 'temp_f': 36.6, 'is_day': 1, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 4.3, 'wind_kph': 6.8, 'wind_degree': 139, 'wind_dir': 'SE', 'pressure_mb': 1024.0, 'pressure_in': 30.24, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 93, 'cloud': 29, 'feelslike_c': 0.6, 'feelslike_f': 33.1, 'windchill_c': 0.6, 'windchill_f': 33.1, 'heatindex_c': 2.6, 'heatindex_f': 36.6, 'dewpoint_c': 1.5, 'dewpoint_f': 34.8, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 7.3, 'gust_kph': 11.8, 'uv': 0.0}
Hour data: {'time_epoch': 1737385200, 'time': '2025-01-20 17:00', 'temp_c': 1.9, 'temp_f': 35.5, 'is_day': 0, 'condition': {'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}, 'wind_mph': 4.9, 'wind_kph': 7.9, 'wind_degree': 134, 'wind_dir': 'SE', 'pressure_mb': 1024.0, 'pressure_in': 30.23, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 94, 'cloud': 37, 'feelslike_c': -0.4, 'feelslike_f': 31.2, 'windchill_c': -0.4, 'windchill_f': 31.2, 'heatindex_c': 2.0, 'heatindex_f': 35.5, 'dewpoint_c': 1.1, 'dewpoint_f': 34.1, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 2.0, 'vis_miles': 1.0, 'gust_mph': 8.9, 'gust_kph': 14.4, 'uv': 0}
Hour data: {'time_epoch': 1737388800, 'time': '2025-01-20 18:00', 'temp_c': 1.6, 'temp_f': 35.0, 'is_day': 0, 'condition': {'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}, 'wind_mph': 5.4, 'wind_kph': 8.6, 'wind_degree': 134, 'wind_dir': 'SE', 'pressure_mb': 1024.0, 'pressure_in': 30.23, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 95, 'cloud': 36, 'feelslike_c': -1.0, 'feelslike_f': 30.2, 'windchill_c': -1.0, 'windchill_f': 30.2, 'heatindex_c': 1.7, 'heatindex_f': 35.0, 'dewpoint_c': 0.9, 'dewpoint_f': 33.6, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 2.0, 'vis_miles': 1.0, 'gust_mph': 9.9, 'gust_kph': 15.9, 'uv': 0}
Hour data: {'time_epoch': 1737392400, 'time': '2025-01-20 19:00', 'temp_c': 1.5, 'temp_f': 34.6, 'is_day': 0, 'condition': {'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}, 'wind_mph': 6.0, 'wind_kph': 9.7, 'wind_degree': 131, 'wind_dir': 'SE', 'pressure_mb': 1023.0, 'pressure_in': 30.21, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 95, 'cloud': 35, 'feelslike_c': -1.5, 'feelslike_f': 29.3, 'windchill_c': -1.5, 'windchill_f': 29.3, 'heatindex_c': 1.5, 'heatindex_f': 34.6, 'dewpoint_c': 0.7, 'dewpoint_f': 33.3, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 2.0, 'vis_miles': 1.0, 'gust_mph': 11.1, 'gust_kph': 17.8, 'uv': 0}
Hour data: {'time_epoch': 1737396000, 'time': '2025-01-20 20:00', 'temp_c': 1.3, 'temp_f': 34.4, 'is_day': 0, 'condition': {'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}, 'wind_mph': 6.7, 'wind_kph': 10.8, 'wind_degree': 132, 'wind_dir': 'SE', 'pressure_mb': 1023.0, 'pressure_in': 30.21, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 95, 'cloud': 47, 'feelslike_c': -1.9, 'feelslike_f': 28.5, 'windchill_c': -1.9, 'windchill_f': 28.5, 'heatindex_c': 1.3, 'heatindex_f': 34.4, 'dewpoint_c': 0.6, 'dewpoint_f': 33.0, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 2.0, 'vis_miles': 1.0, 'gust_mph': 12.0, 'gust_kph': 19.3, 'uv': 0}
Hour data: {'time_epoch': 1737399600, 'time': '2025-01-20 21:00', 'temp_c': 1.3, 'temp_f': 34.3, 'is_day': 0, 'condition': {'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}, 'wind_mph': 7.6, 'wind_kph': 12.2, 'wind_degree': 129, 'wind_dir': 'SE', 'pressure_mb': 1023.0, 'pressure_in': 30.2, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 95, 'cloud': 55, 'feelslike_c': -2.3, 'feelslike_f': 27.8, 'windchill_c': -2.3, 'windchill_f': 27.8, 'heatindex_c': 1.3, 'heatindex_f': 34.3, 'dewpoint_c': 0.5, 'dewpoint_f': 32.9, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 2.0, 'vis_miles': 1.0, 'gust_mph': 13.2, 'gust_kph': 21.2, 'uv': 0}
Hour data: {'time_epoch': 1737403200, 'time': '2025-01-20 22:00', 'temp_c': 1.3, 'temp_f': 34.3, 'is_day': 0, 'condition': {'text': 'Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/119.png', 'code': 1006}, 'wind_mph': 8.3, 'wind_kph': 13.3, 'wind_degree': 133, 'wind_dir': 'SE', 'pressure_mb': 1023.0, 'pressure_in': 30.2, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 95, 'cloud': 74, 'feelslike_c': -2.6, 'feelslike_f': 27.4, 'windchill_c': -2.6, 'windchill_f': 27.4, 'heatindex_c': 1.3, 'heatindex_f': 34.3, 'dewpoint_c': 0.5, 'dewpoint_f': 32.9, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 13.6, 'gust_kph': 22.0, 'uv': 0}
Hour data: {'time_epoch': 1737406800, 'time': '2025-01-20 23:00', 'temp_c': 1.2, 'temp_f': 34.2, 'is_day': 0, 'condition': {'text': 'Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/119.png', 'code': 1006}, 'wind_mph': 8.5, 'wind_kph': 13.7, 'wind_degree': 134, 'wind_dir': 'SE', 'pressure_mb': 1023.0, 'pressure_in': 30.2, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 94, 'cloud': 80, 'feelslike_c': -2.6, 'feelslike_f': 27.3, 'windchill_c': -2.6, 'windchill_f': 27.3, 'heatindex_c': 1.3, 'heatindex_f': 34.3, 'dewpoint_c': 0.4, 'dewpoint_f': 32.7, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 13.7, 'gust_kph': 22.0, 'uv': 0}
