Hour data: {'time_epoch': 1737367200, 'time': '2025-01-20 11:00', 'temp_c': 0.6, 'temp_f': 33.0, 'is_day': 1, 'condition': {'text': 'Light freezing rain', 'icon': '//cdn.weatherapi.com/weather/64x64/day/311.png', 'code': 1198}, 'wind_mph': 3.1, 'wind_kph': 5.0, 'wind_degree': 213, 'wind_dir': 'SSW', 'pressure_mb': 1021.0, 'pressure_in': 30.15, 'precip_mm': 0.03, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 83, 'cloud': 74, 'feelslike_c': -1.0, 'feelslike_f': 30.3, 'windchill_c': -1.0, 'windchill_f': 30.3, 'heatindex_c': 0.6, 'heatindex_f': 33.0, 'dewpoint_c': -2.0, 'dewpoint_f': 28.5, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 69, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 4.2, 'gust_kph': 6.7, 'uv': 0.5}
Hour data: {'time_epoch': 1737370800, 'time': '2025-01-20 12:00', 'temp_c': 1.2, 'temp_f': 34.1, 'is_day': 1, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 4.0, 'wind_kph': 6.5, 'wind_degree': 193, 'wind_dir': 'SSW', 'pressure_mb': 1021.0, 'pressure_in': 30.14, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 81, 'cloud': 50, 'feelslike_c': -0.9, 'feelslike_f': 30.4, 'windchill_c': -0.9, 'windchill_f': 30.4, 'heatindex_c': 1.2, 'heatindex_f': 34.1, 'dewpoint_c': -1.8, 'dewpoint_f': 28.8, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 5.3, 'gust_kph': 8.5, 'uv': 0.6}
Hour data: {'time_epoch': 1737374400, 'time': '2025-01-20 13:00', 'temp_c': 1.8, 'temp_f': 35.2, 'is_day': 1, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 4.3, 'wind_kph': 6.8, 'wind_degree': 189, 'wind_dir': 'S', 'pressure_mb': 1020.0, 'pressure_in': 30.13, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 78, 'cloud': 27, 'feelslike_c': -0.3, 'feelslike_f': 31.6, 'windchill_c': -0.3, 'windchill_f': 31.6, 'heatindex_c': 1.8, 'heatindex_f': 35.3, 'dewpoint_c': -1.7, 'dewpoint_f': 29.0, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 5.5, 'gust_kph': 8.9, 'uv': 0.5}
Hour data: {'time_epoch': 1737378000, 'time': '2025-01-20 14:00', 'temp_c': 2.3, 'temp_f': 36.1, 'is_day': 1, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 4.5, 'wind_kph': 7.2, 'wind_degree': 224, 'wind_dir': 'SW', 'pressure_mb': 1020.0, 'pressure_in': 30.11, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 75, 'cloud': 49, 'feelslike_c': 0.2, 'feelslike_f': 32.3, 'windchill_c': 0.2, 'windchill_f': 32.3, 'heatindex_c': 2.3, 'heatindex_f': 36.1, 'dewpoint_c': -1.6, 'dewpoint_f': 29.1, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 5.9, 'gust_kph': 9.5, 'uv': 0.5}
Hour data: {'time_epoch': 1737381600, 'time': '2025-01-20 15:00', 'temp_c': 2.4, 'temp_f': 36.3, 'is_day': 1, 'condition': {'text': 'Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/119.png', 'code': 1006}, 'wind_mph': 4.3, 'wind_kph': 6.8, 'wind_degree': 231, 'wind_dir': 'SW', 'pressure_mb': 1019.0, 'pressure_in': 30.1, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 75, 'cloud': 65, 'feelslike_c': 0.4, 'feelslike_f': 32.8, 'windchill_c': 0.4, 'windchill_f': 32.8, 'heatindex_c': 2.4, 'heatindex_f': 36.3, 'dewpoint_c': -1.5, 'dewpoint_f': 29.3, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 5.9, 'gust_kph': 9.4, 'uv': 0.3}
Hour data: {'time_epoch': 1737385200, 'time': '2025-01-20 16:00', 'temp_c': 1.7, 'temp_f': 35.0, 'is_day': 1, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 3.8, 'wind_kph': 6.1, 'wind_degree': 233, 'wind_dir': 'SW', 'pressure_mb': 1019.0, 'pressure_in': 30.1, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 80, 'cloud': 55, 'feelslike_c': -0.1, 'feelslike_f': 31.7, 'windchill_c': -0.1, 'windchill_f': 31.7, 'heatindex_c': 1.7, 'heatindex_f': 35.0, 'dewpoint_c': -1.4, 'dewpoint_f': 29.5, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 6.0, 'gust_kph': 9.6, 'uv': 0.1}
Hour data: {'time_epoch': 1737388800, 'time': '2025-01-20 17:00', 'temp_c': 0.6, 'temp_f': 33.1, 'is_day': 1, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 3.4, 'wind_kph': 5.4, 'wind_degree': 226, 'wind_dir': 'SW', 'pressure_mb': 1019.0, 'pressure_in': 30.1, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 85, 'cloud': 48, 'feelslike_c': -1.1, 'feelslike_f': 30.1, 'windchill_c': -1.1, 'windchill_f': 30.1, 'heatindex_c': 0.6, 'heatindex_f': 33.2, 'dewpoint_c': -1.6, 'dewpoint_f': 29.2, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 6.1, 'gust_kph': 9.9, 'uv': 0.0}
Hour data: {'time_epoch': 1737392400, 'time': '2025-01-20 18:00', 'temp_c': 0.5, 'temp_f': 32.9, 'is_day': 0, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}, 'wind_mph': 4.0, 'wind_kph': 6.5, 'wind_degree': 230, 'wind_dir': 'SW', 'pressure_mb': 1019.0, 'pressure_in': 30.1, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 86, 'cloud': 32, 'feelslike_c': -1.6, 'feelslike_f': 29.0, 'windchill_c': -1.6, 'windchill_f': 29.0, 'heatindex_c': 0.5, 'heatindex_f': 32.9, 'dewpoint_c': -1.6, 'dewpoint_f': 29.2, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 7.4, 'gust_kph': 12.0, 'uv': 0}
Hour data: {'time_epoch': 1737396000, 'time': '2025-01-20 19:00', 'temp_c': 0.3, 'temp_f': 32.5, 'is_day': 0, 'condition': {'text': 'Clear ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}, 'wind_mph': 3.6, 'wind_kph': 5.8, 'wind_degree': 231, 'wind_dir': 'SW', 'pressure_mb': 1019.0, 'pressure_in': 30.1, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 87, 'cloud': 24, 'feelslike_c': -1.6, 'feelslike_f': 29.1, 'windchill_c': -1.6, 'windchill_f': 29.1, 'heatindex_c': 0.3, 'heatindex_f': 32.5, 'dewpoint_c': -1.6, 'dewpoint_f': 29.1, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 6.9, 'gust_kph': 11.1, 'uv': 0}
Hour data: {'time_epoch': 1737399600, 'time': '2025-01-20 20:00', 'temp_c': 0.3, 'temp_f': 32.5, 'is_day': 0, 'condition': {'text': 'Clear ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}, 'wind_mph': 4.0, 'wind_kph': 6.5, 'wind_degree': 214, 'wind_dir': 'SW', 'pressure_mb': 1019.0, 'pressure_in': 30.1, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 87, 'cloud': 25, 'feelslike_c': -1.9, 'feelslike_f': 28.6, 'windchill_c': -1.9, 'windchill_f': 28.6, 'heatindex_c': 0.3, 'heatindex_f': 32.5, 'dewpoint_c': -1.6, 'dewpoint_f': 29.1, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 7.7, 'gust_kph': 12.3, 'uv': 0}
Hour data: {'time_epoch': 1737403200, 'time': '2025-01-20 21:00', 'temp_c': 0.2, 'temp_f': 32.4, 'is_day': 0, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}, 'wind_mph': 4.5, 'wind_kph': 7.2, 'wind_degree': 203, 'wind_dir': 'SSW', 'pressure_mb': 1020.0, 'pressure_in': 30.11, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 88, 'cloud': 37, 'feelslike_c': -2.2, 'feelslike_f': 28.0, 'windchill_c': -2.2, 'windchill_f': 28.0, 'heatindex_c': 0.2, 'heatindex_f': 32.4, 'dewpoint_c': -1.6, 'dewpoint_f': 29.1, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 8.7, 'gust_kph': 13.9, 'uv': 0}
Hour data: {'time_epoch': 1737406800, 'time': '2025-01-20 22:00', 'temp_c': 0.0, 'temp_f': 32.0, 'is_day': 0, 'condition': {'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}, 'wind_mph': 4.5, 'wind_kph': 7.2, 'wind_degree': 202, 'wind_dir': 'SSW', 'pressure_mb': 1020.0, 'pressure_in': 30.11, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 88, 'cloud': 43, 'feelslike_c': -2.5, 'feelslike_f': 27.6, 'windchill_c': -2.5, 'windchill_f': 27.6, 'heatindex_c': 0.0, 'heatindex_f': 32.0, 'dewpoint_c': -1.7, 'dewpoint_f': 29.0, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 8.9, 'gust_kph': 14.3, 'uv': 0}
Hour data: {'time_epoch': 1737410400, 'time': '2025-01-20 23:00', 'temp_c': 0.1, 'temp_f': 32.1, 'is_day': 0, 'condition': {'text': 'Clear ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}, 'wind_mph': 4.7, 'wind_kph': 7.6, 'wind_degree': 203, 'wind_dir': 'SSW', 'pressure_mb': 1020.0, 'pressure_in': 30.11, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 88, 'cloud': 22, 'feelslike_c': -2.5, 'feelslike_f': 27.4, 'windchill_c': -2.5, 'windchill_f': 27.4, 'heatindex_c': 0.1, 'heatindex_f': 32.1, 'dewpoint_c': -1.7, 'dewpoint_f': 28.9, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 9.3, 'gust_kph': 14.9, 'uv': 0}
