Hour data: {'time_epoch': 1734343200, 'time': '2024-12-16 11:00', 'temp_c': 10.1, 'temp_f': 50.2, 'is_day': 1, 'condition': {'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}, 'wind_mph': 15.4, 'wind_kph': 24.8, 'wind_degree': 249, 'wind_dir': 'WSW', 'pressure_mb': 1031.0, 'pressure_in': 30.45, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 94, 'cloud': 100, 'feelslike_c': 7.2, 'feelslike_f': 44.9, 'windchill_c': 7.2, 'windchill_f': 44.9, 'heatindex_c': 10.2, 'heatindex_f': 50.3, 'dewpoint_c': 7.8, 'dewpoint_f': 46.0, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 22.7, 'gust_kph': 36.6, 'uv': 0.2}
Hour data: {'time_epoch': 1734346800, 'time': '2024-12-16 12:00', 'temp_c': 10.3, 'temp_f': 50.5, 'is_day': 1, 'condition': {'text': 'Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/119.png', 'code': 1006}, 'wind_mph': 15.7, 'wind_kph': 25.2, 'wind_degree': 247, 'wind_dir': 'WSW', 'pressure_mb': 1030.0, 'pressure_in': 30.43, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 84, 'cloud': 77, 'feelslike_c': 7.3, 'feelslike_f': 45.2, 'windchill_c': 7.3, 'windchill_f': 45.2, 'heatindex_c': 10.3, 'heatindex_f': 50.5, 'dewpoint_c': 7.8, 'dewpoint_f': 46.0, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 22.6, 'gust_kph': 36.4, 'uv': 0.4}
Hour data: {'time_epoch': 1734350400, 'time': '2024-12-16 13:00', 'temp_c': 10.3, 'temp_f': 50.6, 'is_day': 1, 'condition': {'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'wind_mph': 16.1, 'wind_kph': 25.9, 'wind_degree': 249, 'wind_dir': 'WSW', 'pressure_mb': 1030.0, 'pressure_in': 30.42, 'precip_mm': 0.02, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 84, 'cloud': 84, 'feelslike_c': 7.3, 'feelslike_f': 45.1, 'windchill_c': 7.3, 'windchill_f': 45.1, 'heatindex_c': 10.3, 'heatindex_f': 50.6, 'dewpoint_c': 7.7, 'dewpoint_f': 45.9, 'will_it_rain': 1, 'chance_of_rain': 82, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 23.5, 'gust_kph': 37.8, 'uv': 0.3}
Hour data: {'time_epoch': 1734354000, 'time': '2024-12-16 14:00', 'temp_c': 10.2, 'temp_f': 50.4, 'is_day': 1, 'condition': {'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'wind_mph': 15.4, 'wind_kph': 24.8, 'wind_degree': 250, 'wind_dir': 'WSW', 'pressure_mb': 1030.0, 'pressure_in': 30.42, 'precip_mm': 0.03, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 82, 'cloud': 87, 'feelslike_c': 7.2, 'feelslike_f': 45.0, 'windchill_c': 7.2, 'windchill_f': 45.0, 'heatindex_c': 10.2, 'heatindex_f': 50.4, 'dewpoint_c': 7.4, 'dewpoint_f': 45.3, 'will_it_rain': 1, 'chance_of_rain': 86, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 22.9, 'gust_kph': 36.8, 'uv': 0.1}
Hour data: {'time_epoch': 1734357600, 'time': '2024-12-16 15:00', 'temp_c': 10.4, 'temp_f': 50.7, 'is_day': 1, 'condition': {'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'wind_mph': 14.1, 'wind_kph': 22.7, 'wind_degree': 250, 'wind_dir': 'WSW', 'pressure_mb': 1030.0, 'pressure_in': 30.41, 'precip_mm': 0.01, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 79, 'cloud': 99, 'feelslike_c': 7.6, 'feelslike_f': 45.7, 'windchill_c': 7.6, 'windchill_f': 45.7, 'heatindex_c': 10.4, 'heatindex_f': 50.7, 'dewpoint_c': 6.9, 'dewpoint_f': 44.3, 'will_it_rain': 1, 'chance_of_rain': 88, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 21.6, 'gust_kph': 34.8, 'uv': 0.1}
Hour data: {'time_epoch': 1734361200, 'time': '2024-12-16 16:00', 'temp_c': 10.4, 'temp_f': 50.8, 'is_day': 1, 'condition': {'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'wind_mph': 14.8, 'wind_kph': 23.8, 'wind_degree': 257, 'wind_dir': 'WSW', 'pressure_mb': 1030.0, 'pressure_in': 30.41, 'precip_mm': 0.01, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 78, 'cloud': 91, 'feelslike_c': 7.6, 'feelslike_f': 45.7, 'windchill_c': 7.6, 'windchill_f': 45.7, 'heatindex_c': 10.4, 'heatindex_f': 50.8, 'dewpoint_c': 6.8, 'dewpoint_f': 44.3, 'will_it_rain': 0, 'chance_of_rain': 64, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 22.5, 'gust_kph': 36.3, 'uv': 0.0}
Hour data: {'time_epoch': 1734364800, 'time': '2024-12-16 17:00', 'temp_c': 10.2, 'temp_f': 50.3, 'is_day': 0, 'condition': {'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}, 'wind_mph': 13.9, 'wind_kph': 22.3, 'wind_degree': 258, 'wind_dir': 'WSW', 'pressure_mb': 1030.0, 'pressure_in': 30.41, 'precip_mm': 0.01, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 80, 'cloud': 98, 'feelslike_c': 7.4, 'feelslike_f': 45.3, 'windchill_c': 7.4, 'windchill_f': 45.3, 'heatindex_c': 10.2, 'heatindex_f': 50.3, 'dewpoint_c': 6.8, 'dewpoint_f': 44.3, 'will_it_rain': 1, 'chance_of_rain': 83, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 21.4, 'gust_kph': 34.4, 'uv': 0}
Hour data: {'time_epoch': 1734368400, 'time': '2024-12-16 18:00', 'temp_c': 10.0, 'temp_f': 50.0, 'is_day': 0, 'condition': {'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}, 'wind_mph': 13.0, 'wind_kph': 20.9, 'wind_degree': 256, 'wind_dir': 'WSW', 'pressure_mb': 1030.0, 'pressure_in': 30.41, 'precip_mm': 0.03, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 81, 'cloud': 93, 'feelslike_c': 7.3, 'feelslike_f': 45.1, 'windchill_c': 7.3, 'windchill_f': 45.1, 'heatindex_c': 10.0, 'heatindex_f': 50.0, 'dewpoint_c': 6.9, 'dewpoint_f': 44.3, 'will_it_rain': 1, 'chance_of_rain': 76, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 20.0, 'gust_kph': 32.2, 'uv': 0}
Hour data: {'time_epoch': 1734372000, 'time': '2024-12-16 19:00', 'temp_c': 9.9, 'temp_f': 49.9, 'is_day': 0, 'condition': {'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}, 'wind_mph': 13.6, 'wind_kph': 22.0, 'wind_degree': 257, 'wind_dir': 'WSW', 'pressure_mb': 1030.0, 'pressure_in': 30.42, 'precip_mm': 0.09, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 81, 'cloud': 100, 'feelslike_c': 7.1, 'feelslike_f': 44.8, 'windchill_c': 7.1, 'windchill_f': 44.8, 'heatindex_c': 9.9, 'heatindex_f': 49.9, 'dewpoint_c': 6.8, 'dewpoint_f': 44.2, 'will_it_rain': 1, 'chance_of_rain': 100, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 20.9, 'gust_kph': 33.7, 'uv': 0}
Hour data: {'time_epoch': 1734375600, 'time': '2024-12-16 20:00', 'temp_c': 9.9, 'temp_f': 49.8, 'is_day': 0, 'condition': {'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}, 'wind_mph': 13.0, 'wind_kph': 20.9, 'wind_degree': 255, 'wind_dir': 'WSW', 'pressure_mb': 1030.0, 'pressure_in': 30.42, 'precip_mm': 0.01, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 78, 'cloud': 100, 'feelslike_c': 7.2, 'feelslike_f': 44.9, 'windchill_c': 7.2, 'windchill_f': 44.9, 'heatindex_c': 9.9, 'heatindex_f': 49.8, 'dewpoint_c': 6.3, 'dewpoint_f': 43.3, 'will_it_rain': 0, 'chance_of_rain': 66, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 20.1, 'gust_kph': 32.3, 'uv': 0}
Hour data: {'time_epoch': 1734379200, 'time': '2024-12-16 21:00', 'temp_c': 9.9, 'temp_f': 49.8, 'is_day': 0, 'condition': {'text': 'Overcast ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}, 'wind_mph': 12.8, 'wind_kph': 20.5, 'wind_degree': 251, 'wind_dir': 'WSW', 'pressure_mb': 1030.0, 'pressure_in': 30.42, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 76, 'cloud': 100, 'feelslike_c': 7.2, 'feelslike_f': 44.9, 'windchill_c': 7.2, 'windchill_f': 44.9, 'heatindex_c': 9.9, 'heatindex_f': 49.8, 'dewpoint_c': 5.9, 'dewpoint_f': 42.6, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 20.0, 'gust_kph': 32.2, 'uv': 0}
Hour data: {'time_epoch': 1734382800, 'time': '2024-12-16 22:00', 'temp_c': 10.0, 'temp_f': 49.9, 'is_day': 0, 'condition': {'text': 'Overcast ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}, 'wind_mph': 12.8, 'wind_kph': 20.5, 'wind_degree': 249, 'wind_dir': 'WSW', 'pressure_mb': 1030.0, 'pressure_in': 30.42, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 74, 'cloud': 100, 'feelslike_c': 7.3, 'feelslike_f': 45.1, 'windchill_c': 7.3, 'windchill_f': 45.1, 'heatindex_c': 10.0, 'heatindex_f': 49.9, 'dewpoint_c': 5.6, 'dewpoint_f': 42.0, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 20.2, 'gust_kph': 32.5, 'uv': 0}
Hour data: {'time_epoch': 1734386400, 'time': '2024-12-16 23:00', 'temp_c': 9.9, 'temp_f': 49.8, 'is_day': 0, 'condition': {'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}, 'wind_mph': 12.8, 'wind_kph': 20.5, 'wind_degree': 245, 'wind_dir': 'WSW', 'pressure_mb': 1030.0, 'pressure_in': 30.42, 'precip_mm': 0.01, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 76, 'cloud': 100, 'feelslike_c': 7.2, 'feelslike_f': 44.9, 'windchill_c': 7.2, 'windchill_f': 44.9, 'heatindex_c': 9.9, 'heatindex_f': 49.7, 'dewpoint_c': 5.8, 'dewpoint_f': 42.5, 'will_it_rain': 0, 'chance_of_rain': 70, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 20.0, 'gust_kph': 32.2, 'uv': 0}
