Hour data: {'time_epoch': 1734084000, 'time': '2024-12-13 11:00', 'temp_c': 3.1, 'temp_f': 37.5, 'is_day': 1, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'wind_mph': 4.0, 'wind_kph': 6.5, 'wind_degree': 134, 'wind_dir': 'SE', 'pressure_mb': 1027.0, 'pressure_in': 30.34, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 64, 'cloud': 3, 'feelslike_c': 1.3, 'feelslike_f': 34.4, 'windchill_c': 1.3, 'windchill_f': 34.4, 'heatindex_c': 3.1, 'heatindex_f': 37.5, 'dewpoint_c': -3.0, 'dewpoint_f': 26.6, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 6.1, 'gust_kph': 9.8, 'uv': 0.4}
Hour data: {'time_epoch': 1734087600, 'time': '2024-12-13 12:00', 'temp_c': 4.2, 'temp_f': 39.6, 'is_day': 1, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'wind_mph': 3.1, 'wind_kph': 5.0, 'wind_degree': 131, 'wind_dir': 'SE', 'pressure_mb': 1027.0, 'pressure_in': 30.32, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 61, 'cloud': 5, 'feelslike_c': 3.2, 'feelslike_f': 37.8, 'windchill_c': 3.2, 'windchill_f': 37.8, 'heatindex_c': 4.2, 'heatindex_f': 39.6, 'dewpoint_c': -2.6, 'dewpoint_f': 27.4, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 4.3, 'gust_kph': 7.0, 'uv': 0.6}
Hour data: {'time_epoch': 1734091200, 'time': '2024-12-13 13:00', 'temp_c': 5.0, 'temp_f': 40.9, 'is_day': 1, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'wind_mph': 3.1, 'wind_kph': 5.0, 'wind_degree': 119, 'wind_dir': 'ESE', 'pressure_mb': 1026.0, 'pressure_in': 30.29, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 61, 'cloud': 5, 'feelslike_c': 4.0, 'feelslike_f': 39.3, 'windchill_c': 4.0, 'windchill_f': 39.3, 'heatindex_c': 5.0, 'heatindex_f': 40.9, 'dewpoint_c': -2.0, 'dewpoint_f': 28.4, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 4.2, 'gust_kph': 6.8, 'uv': 0.6}
Hour data: {'time_epoch': 1734094800, 'time': '2024-12-13 14:00', 'temp_c': 5.3, 'temp_f': 41.6, 'is_day': 1, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'wind_mph': 3.4, 'wind_kph': 5.4, 'wind_degree': 137, 'wind_dir': 'SE', 'pressure_mb': 1025.0, 'pressure_in': 30.27, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 61, 'cloud': 7, 'feelslike_c': 4.3, 'feelslike_f': 39.8, 'windchill_c': 4.3, 'windchill_f': 39.8, 'heatindex_c': 5.3, 'heatindex_f': 41.6, 'dewpoint_c': -1.4, 'dewpoint_f': 29.4, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 4.6, 'gust_kph': 7.4, 'uv': 0.5}
Hour data: {'time_epoch': 1734098400, 'time': '2024-12-13 15:00', 'temp_c': 5.1, 'temp_f': 41.1, 'is_day': 1, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'wind_mph': 2.9, 'wind_kph': 4.7, 'wind_degree': 138, 'wind_dir': 'SE', 'pressure_mb': 1024.0, 'pressure_in': 30.25, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 66, 'cloud': 7, 'feelslike_c': 4.3, 'feelslike_f': 39.7, 'windchill_c': 4.3, 'windchill_f': 39.7, 'heatindex_c': 5.1, 'heatindex_f': 41.1, 'dewpoint_c': -0.8, 'dewpoint_f': 30.6, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 4.3, 'gust_kph': 6.9, 'uv': 0.3}
Hour data: {'time_epoch': 1734102000, 'time': '2024-12-13 16:00', 'temp_c': 4.0, 'temp_f': 39.3, 'is_day': 1, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'wind_mph': 3.4, 'wind_kph': 5.4, 'wind_degree': 155, 'wind_dir': 'SSE', 'pressure_mb': 1024.0, 'pressure_in': 30.25, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 70, 'cloud': 4, 'feelslike_c': 2.8, 'feelslike_f': 37.1, 'windchill_c': 2.8, 'windchill_f': 37.1, 'heatindex_c': 4.0, 'heatindex_f': 39.3, 'dewpoint_c': -0.9, 'dewpoint_f': 30.5, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 5.9, 'gust_kph': 9.5, 'uv': 0.0}
Hour data: {'time_epoch': 1734105600, 'time': '2024-12-13 17:00', 'temp_c': 3.3, 'temp_f': 37.9, 'is_day': 0, 'condition': {'text': 'Clear ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}, 'wind_mph': 3.4, 'wind_kph': 5.4, 'wind_degree': 172, 'wind_dir': 'S', 'pressure_mb': 1024.0, 'pressure_in': 30.24, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 74, 'cloud': 0, 'feelslike_c': 2.0, 'feelslike_f': 35.5, 'windchill_c': 2.0, 'windchill_f': 35.5, 'heatindex_c': 3.3, 'heatindex_f': 37.9, 'dewpoint_c': -0.9, 'dewpoint_f': 30.4, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 6.4, 'gust_kph': 10.4, 'uv': 0}
Hour data: {'time_epoch': 1734109200, 'time': '2024-12-13 18:00', 'temp_c': 2.9, 'temp_f': 37.2, 'is_day': 0, 'condition': {'text': 'Clear ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}, 'wind_mph': 3.6, 'wind_kph': 5.8, 'wind_degree': 198, 'wind_dir': 'SSW', 'pressure_mb': 1024.0, 'pressure_in': 30.23, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 77, 'cloud': 3, 'feelslike_c': 1.4, 'feelslike_f': 34.4, 'windchill_c': 1.4, 'windchill_f': 34.4, 'heatindex_c': 2.9, 'heatindex_f': 37.1, 'dewpoint_c': -0.8, 'dewpoint_f': 30.6, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 7.0, 'gust_kph': 11.3, 'uv': 0}
Hour data: {'time_epoch': 1734112800, 'time': '2024-12-13 19:00', 'temp_c': 2.4, 'temp_f': 36.4, 'is_day': 0, 'condition': {'text': 'Clear ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}, 'wind_mph': 4.7, 'wind_kph': 7.6, 'wind_degree': 208, 'wind_dir': 'SSW', 'pressure_mb': 1024.0, 'pressure_in': 30.23, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 80, 'cloud': 3, 'feelslike_c': 0.3, 'feelslike_f': 32.5, 'windchill_c': 0.3, 'windchill_f': 32.5, 'heatindex_c': 2.4, 'heatindex_f': 36.4, 'dewpoint_c': -0.6, 'dewpoint_f': 30.9, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 9.3, 'gust_kph': 14.9, 'uv': 0}
Hour data: {'time_epoch': 1734116400, 'time': '2024-12-13 20:00', 'temp_c': 2.0, 'temp_f': 35.6, 'is_day': 0, 'condition': {'text': 'Clear ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}, 'wind_mph': 5.6, 'wind_kph': 9.0, 'wind_degree': 215, 'wind_dir': 'SW', 'pressure_mb': 1024.0, 'pressure_in': 30.22, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 84, 'cloud': 5, 'feelslike_c': -0.7, 'feelslike_f': 30.8, 'windchill_c': -0.7, 'windchill_f': 30.8, 'heatindex_c': 2.0, 'heatindex_f': 35.6, 'dewpoint_c': -0.4, 'dewpoint_f': 31.3, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 11.0, 'gust_kph': 17.7, 'uv': 0}
Hour data: {'time_epoch': 1734120000, 'time': '2024-12-13 21:00', 'temp_c': 1.6, 'temp_f': 34.9, 'is_day': 0, 'condition': {'text': 'Clear ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}, 'wind_mph': 6.0, 'wind_kph': 9.7, 'wind_degree': 222, 'wind_dir': 'SW', 'pressure_mb': 1023.0, 'pressure_in': 30.22, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 86, 'cloud': 8, 'feelslike_c': -1.3, 'feelslike_f': 29.6, 'windchill_c': -1.3, 'windchill_f': 29.6, 'heatindex_c': 1.6, 'heatindex_f': 34.9, 'dewpoint_c': -0.4, 'dewpoint_f': 31.2, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 11.9, 'gust_kph': 19.2, 'uv': 0}
Hour data: {'time_epoch': 1734123600, 'time': '2024-12-13 22:00', 'temp_c': 1.2, 'temp_f': 34.2, 'is_day': 0, 'condition': {'text': 'Clear ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}, 'wind_mph': 6.5, 'wind_kph': 10.4, 'wind_degree': 224, 'wind_dir': 'SW', 'pressure_mb': 1023.0, 'pressure_in': 30.21, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 87, 'cloud': 3, 'feelslike_c': -1.9, 'feelslike_f': 28.5, 'windchill_c': -1.9, 'windchill_f': 28.5, 'heatindex_c': 1.3, 'heatindex_f': 34.3, 'dewpoint_c': -0.7, 'dewpoint_f': 30.8, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 12.6, 'gust_kph': 20.2, 'uv': 0}
Hour data: {'time_epoch': 1734127200, 'time': '2024-12-13 23:00', 'temp_c': 0.9, 'temp_f': 33.6, 'is_day': 0, 'condition': {'text': 'Clear ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}, 'wind_mph': 6.7, 'wind_kph': 10.8, 'wind_degree': 229, 'wind_dir': 'SW', 'pressure_mb': 1023.0, 'pressure_in': 30.2, 'precip_mm': 0.0, 'precip_in': 0.0, 'snow_cm': 0.0, 'humidity': 88, 'cloud': 4, 'feelslike_c': -2.4, 'feelslike_f': 27.6, 'windchill_c': -2.4, 'windchill_f': 27.6, 'heatindex_c': 0.9, 'heatindex_f': 33.6, 'dewpoint_c': -0.9, 'dewpoint_f': 30.5, 'will_it_rain': 0, 'chance_of_rain': 0, 'will_it_snow': 0, 'chance_of_snow': 0, 'vis_km': 10.0, 'vis_miles': 6.0, 'gust_mph': 12.7, 'gust_kph': 20.4, 'uv': 0}
